data,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Mês (Código),Mês,Variável (Código),Variável,data
1988-07-01,1,Brasil,2,%,21.91,1,Brasil,198807,julho 1988,63,IPCA - Variação mensal,1988-07-01
1988-08-01,1,Brasil,2,%,21.59,1,Brasil,198808,agosto 1988,63,IPCA - Variação mensal,1988-08-01
1988-09-01,1,Brasil,2,%,27.45,1,Brasil,198809,setembro 1988,63,IPCA - Variação mensal,1988-09-01
1988-10-01,1,Brasil,2,%,25.62,1,Brasil,198810,outubro 1988,63,IPCA - Variação mensal,1988-10-01
1988-11-01,1,Brasil,2,%,27.94,1,Brasil,198811,novembro 1988,63,IPCA - Variação mensal,1988-11-01
1988-12-01,1,Brasil,2,%,28.7,1,Brasil,198812,dezembro 1988,63,IPCA - Variação mensal,1988-12-01
1989-01-01,1,Brasil,2,%,37.49,1,Brasil,198901,janeiro 1989,63,IPCA - Variação mensal,1989-01-01
1989-02-01,1,Brasil,2,%,16.78,1,Brasil,198902,fevereiro 1989,63,IPCA - Variação mensal,1989-02-01
1989-03-01,1,Brasil,2,%,6.82,1,Brasil,198903,março 1989,63,IPCA - Variação mensal,1989-03-01
1989-04-01,1,Brasil,2,%,8.33,1,Brasil,198904,abril 1989,63,IPCA - Variação mensal,1989-04-01
1989-05-01,1,Brasil,2,%,17.92,1,Brasil,198905,maio 1989,63,IPCA - Variação mensal,1989-05-01
1989-06-01,1,Brasil,2,%,28.65,1,Brasil,198906,junho 1989,63,IPCA - Variação mensal,1989-06-01
1989-07-01,1,Brasil,2,%,27.74,1,Brasil,198907,julho 1989,63,IPCA - Variação mensal,1989-07-01
1989-08-01,1,Brasil,2,%,33.71,1,Brasil,198908,agosto 1989,63,IPCA - Variação mensal,1989-08-01
1989-09-01,1,Brasil,2,%,37.56,1,Brasil,198909,setembro 1989,63,IPCA - Variação mensal,1989-09-01
1989-10-01,1,Brasil,2,%,39.77,1,Brasil,198910,outubro 1989,63,IPCA - Variação mensal,1989-10-01
1989-11-01,1,Brasil,2,%,47.82,1,Brasil,198911,novembro 1989,63,IPCA - Variação mensal,1989-11-01
1989-12-01,1,Brasil,2,%,51.5,1,Brasil,198912,dezembro 1989,63,IPCA - Variação mensal,1989-12-01
1990-01-01,1,Brasil,2,%,67.55,1,Brasil,199001,janeiro 1990,63,IPCA - Variação mensal,1990-01-01
1990-02-01,1,Brasil,2,%,75.73,1,Brasil,199002,fevereiro 1990,63,IPCA - Variação mensal,1990-02-01
1990-03-01,1,Brasil,2,%,82.39,1,Brasil,199003,março 1990,63,IPCA - Variação mensal,1990-03-01
1990-04-01,1,Brasil,2,%,15.52,1,Brasil,199004,abril 1990,63,IPCA - Variação mensal,1990-04-01
1990-05-01,1,Brasil,2,%,7.59,1,Brasil,199005,maio 1990,63,IPCA - Variação mensal,1990-05-01
1990-06-01,1,Brasil,2,%,11.75,1,Brasil,199006,junho 1990,63,IPCA - Variação mensal,1990-06-01
1990-07-01,1,Brasil,2,%,12.92,1,Brasil,199007,julho 1990,63,IPCA - Variação mensal,1990-07-01
1990-08-01,1,Brasil,2,%,12.88,1,Brasil,199008,agosto 1990,63,IPCA - Variação mensal,1990-08-01
1990-09-01,1,Brasil,2,%,14.41,1,Brasil,199009,setembro 1990,63,IPCA - Variação mensal,1990-09-01
