,0,1,2,3,4,5,igpm
2019-11-01,28183117.291891232,-20861052.48824059,13782451.917133614,-18594723.87790508,8959583.102898777,3900968.329302299,0.3
2019-12-01,116878651.75262356,-37377749.76150204,-11664349.656888401,-15362788.727758955,-1838974.527742138,-4013559.2651018845,2.09
2020-01-01,-176124331.09266368,25933830.622724194,-3538697.613773506,25745600.233940795,15242143.784981916,2635843.6167860776,0.48
2020-02-01,-18865967.022853624,-553977.1186042543,-15495094.71852753,-5563621.024834708,-15212179.941334326,5386025.447763524,-0.04
2020-03-01,144659252.80209413,-86239261.43293501,28712501.00690935,27345272.11894815,-8191703.804887919,3165922.383003925,1.24
2020-04-01,220933247.42242658,-70300627.26902576,-12707813.934047118,35583799.496726476,25335288.71001838,-12421462.167024596,0.8
2020-05-01,213834861.5270461,-36628895.99165811,-6308970.576945759,15829476.794193888,29548381.33363453,-18471083.987546306,0.28
2020-06-01,233795902.14508167,26511112.900357004,15230932.192935856,-20476531.21439572,16080353.717819298,-7787014.824658846,1.56
2020-07-01,158997885.78007644,8987614.056032075,-22157463.238007233,17204538.64290598,42859771.88489364,-11719550.45624007,2.23
2020-08-01,127344573.93089747,36873707.500260934,10811895.41625945,-32320750.10765022,-24060373.447790124,-10655986.193527192,2.74
2020-09-01,100747166.0964731,-27747303.672782384,47183938.90296463,-10192237.841582844,9493921.543779459,12930.552312463133,4.34
2020-10-01,24097737.40558533,-19091926.534829043,12875234.819488171,8731514.923901292,6593715.152170771,-4304785.473136202,3.23
2020-11-01,15231075.886908911,-9885685.759954203,3463137.246320663,-17755471.663882025,-15682861.171809293,1214277.560148263,3.28
2020-12-01,171528107.40872985,15856696.882954663,-64211599.65261377,-12240875.031437745,-20249752.091872025,-8310886.631864635,0.96
2021-01-01,-146866716.75896382,89180292.77686459,34139144.78983262,-3871090.3925430975,18462657.273992095,1653015.419144016,2.58
