"";"TIPO";"TIPO_INDICE";"CO_ANO";"CO_MES";"CO_CGCE";"INDICE";"NO_CLASSIFICACAO";"NO_TIPO_CLASSIFICACAO";"NO_CGCE"
"101";"EXP";"QUANTUM";2022;12;"CO_CGCE_N1_1";141,469027664806;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"102";"EXP";"QUANTUM";2022;12;"CO_CGCE_N1_3";95,1601611495845;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"103";"EXP_DESSAZONALIZADA";"QUANTUM";2022;12;"CO_CGCE_N1_2";144,47137982188;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"104";"EXP_DESSAZONALIZADA";"QUANTUM";2022;12;"CO_CGCE_N1_1";102,872666718226;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"105";"EXP_DESSAZONALIZADA";"QUANTUM";2022;12;"CO_CGCE_N1_3";94,3126795890352;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"106";"IMP";"PRECO";2022;12;"CO_CGCE_N1_2";145,109125458405;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
"107";"IMP";"PRECO";2022;12;"CO_CGCE_N1_1";92,1500417259382;"BENS DE CAPITAL (BK)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Capital (BK)"
"108";"IMP";"PRECO";2022;12;"CO_CGCE_N1_3";132,173303985579;"BENS DE CONSUMO (BC)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens de Consumo (BC)"
"109";"IMP";"PRECO";2022;12;"CO_CGCE_N1_4";152,06121735165;"COMBUSTÍVEIS E LUBRIFICANTES";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Combustíveis e Lubrificantes"
"110";"IMP";"QUANTUM";2022;12;"CO_CGCE_N1_2";189,560451598441;"BENS INTERMEDIÁRIOS (BI)";"CLASSIFICAÇÃO POR GRANDES CATEGORIA ECONÔMICAS";"Bens Intermediários (BI)"
